0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
1,-0.0935,-0.20925,-0.2525,-0.1125,0.111875,0.129875,0.139375,-0.10525,-0.252125,-0.2005,-0.053625,0.196125,0.02475,-0.063,-0.068625,-0.0605,0.04225,0.055125,0.059,-0.11375,-0.203125,0.042,0.162,0.268,0.122,-0.1325,-0.162875,-0.279625,0.11875,0.288625,0.2505,0.080125,-0.225125,-0.073375,-0.004625,0.088125,0.130375,0.011875,-0.032625,-0.114375,0.075875,0.161125,-0.0205,-0.138875,-0.224875,-0.1085,0.086375,0.08075,0.173625,-0.10075,-0.26675,-0.253625,-0.090875,0.14975,0.064875,-0.004,-0.005625,-0.01225,-0.012125,-0.00075,0.000625,0.004875,0.003875,0.007,0.0145,-0.004,-0.0045,-0.0075,-0.0035,0.0045,0.007375,0.003,0.004125,0.001375,-0.003875,-0.00825,0.00775,-0.006375,-0.02425,0.020875,0.006875,0.00075,0.004375,-0.336625,-0.009125,-0.00575,-0.00075,-0.0005,0.001625,0.006125,0.00275,0.000125,-0.005375,-0.005875,-0.0065,0.00025,-0.00125,0.0025,0.005625,-0.00025,0.00175,-0.001375,0.0075,-0.01,-0.00325,0.002875,0.00325,0.018125,0.012625,0.00125,0.004125,-0.0015
2,-0.111125,-0.2245,-0.27725,-0.12625,0.11475,0.151375,0.166875,-0.11475,-0.2905,-0.240625,-0.068,0.224125,0.036375,-0.052875,-0.0855,-0.09075,0.02475,0.052625,0.081375,-0.120125,-0.220625,0.037875,0.158375,0.291625,0.135875,-0.134625,-0.186875,-0.333125,0.129125,0.328125,0.293125,0.0975,-0.25625,-0.095375,-0.02475,0.1055,0.168125,0.0345,-0.02825,-0.14425,0.074875,0.172125,-0.014875,-0.140375,-0.239375,-0.11975,0.08275,0.09225,0.203625,-0.111375,-0.300875,-0.29275,-0.107875,0.16625,0.083125,0.01225,-0.01025,-0.016875,-0.013375,-0.0035,-0.000625,0.0115,0.007875,0.00375,0.018,-0.007375,-0.00875,-0.011,-0.004625,0.000125,0.009625,0.005625,0.006375,0.003,-0.0015,-0.014375,0.00575,-0.010625,-0.0365,0.02475,0.0115,0.0035,0.003875,-0.40425,-0.01,-0.0105,-0.001875,0.002,0.00525,0.012875,0.005375,0.002,-0.007125,-0.0075,-0.011375,0.001375,-0.003,0.004125,0.010875,0.00525,0.00225,-0.003875,-0.0045,-0.0095,-0.001625,0.003375,0.003625,0.02425,0.01475,0.00425,0.0015,-0.003875
3,-0.125875,-0.262875,-0.2115,-0.099125,0.007625,0.145875,0.21175,-0.08525,-0.274,-0.289625,-0.108375,0.199125,0.113875,0.10275,-0.121,-0.226625,-0.139625,-0.01825,0.175875,-0.03125,-0.129,-0.03475,0.0325,0.157125,0.098,-0.01225,-0.1615,-0.363375,0.086125,0.280625,0.309625,0.127,-0.208375,-0.159125,-0.146125,0.12875,0.280625,0.179625,0.04025,-0.221,-0.01225,0.077125,0.051375,0.022,-0.104125,-0.076625,-0.039375,0.07275,0.207125,-0.06325,-0.23425,-0.295125,-0.133375,0.121875,0.138625,0.12975,0.00025,-0.008625,-0.01025,0,0.00125,0.00725,0.0035,-0.0015,0.01525,-0.004375,-0.0025,-0.004875,-0.00475,-0.000125,0.007625,0.00075,-0.003,0.001375,-0.0015,-0.005625,0.004125,-0.0035,-0.003375,0.012875,0.005375,0.00325,0.003875,-0.439625,-0.005125,-0.004375,0.00125,0.002625,0.004875,0.00325,-0.001125,-0.003875,-0.010375,-0.003125,-0.001375,0.004375,0.002375,0.002875,0.001125,0.0025,-0.00125,-0.004625,0.006,0.002625,-0.0005,0.003125,0.00125,0.019875,0.005125,0.000875,0.00475,0.001
4,-0.113375,-0.245625,-0.2045,-0.0845,-0.005875,0.128,0.19375,-0.069625,-0.239625,-0.26125,-0.101375,0.1735,0.107875,0.111,-0.1105,-0.216625,-0.1425,-0.02475,0.16875,-0.0175,-0.10475,-0.039375,0.00675,0.12475,0.083125,0.004625,-0.14,-0.32525,0.072,0.244,0.277,0.116375,-0.180375,-0.147875,-0.14175,0.117125,0.260875,0.17775,0.04375,-0.2055,-0.0215,0.05775,0.054125,0.0385,-0.074375,-0.062875,-0.048625,0.0625,0.185375,-0.050125,-0.200375,-0.26425,-0.12175,0.10525,0.130625,0.129125,0.00125,-0.004625,-0.00625,0.005375,0.00425,0.009375,0.0035,-0.001875,0.00925,-0.008375,-0.004875,-0.005375,0.00375,0.004875,0.013125,0.001875,-0.005625,-0.004875,0.0005,-0.008125,0.003625,0.0015,-0.0075,0.014,0.007,0.001,-0.004375,-0.39975,-0.008625,-0.003875,0.00525,0.008,0.0065,0.005875,-0.002625,-0.008875,-0.0145,-0.0055,-0.001,0.00475,0.008875,0.00375,0.001,-0.001875,-0.007125,-0.0085,-0.0035,-0.0065,0.003125,0.008,0.00575,0.01375,0.00275,0.0025,-0.00325,-0.000125
5,0.073375,0.121625,0.06875,-0.003,-0.07675,-0.084875,-0.103875,0.068375,0.1805,0.160625,0.050125,-0.126625,-0.025625,0.02275,0.06275,0.07925,0.009875,-0.021875,-0.057875,0.07525,0.142,-0.01325,-0.079875,-0.172,-0.0845,0.07875,0.13275,0.247125,-0.080125,-0.21425,-0.203875,-0.073375,0.174,0.091625,0.056125,-0.077125,-0.141875,-0.06025,0.000875,0.125625,-0.01675,-0.078875,-0.007125,0.050625,0.1215,0.0665,-0.016125,-0.046625,-0.1205,0.058375,0.1775,0.186125,0.07125,-0.088125,-0.050125,-0.01675,0.004,0.00775,0.002375,-0.0015,-0.00075,-0.003375,-0.003875,-0.004,-0.011375,0.004625,0.004125,0.005,0.0035,0.001375,-0.00925,-0.00275,-0.0025,0.000125,0.0055,0.007125,-0.004375,0.005125,0.02725,-0.015875,-0.0065,-0.00175,-0.001,0.299875,0.007,0.00525,0.0005,-0.001125,-0.002625,-0.005375,-0.000875,0.000625,0.005,0.005125,0.0045,-0.001375,0.000375,-0.001625,-0.005125,-0.005,-0.002625,0.00175,-0.0025,0.01175,0.00325,-0.003375,-0.00225,-0.01075,-0.007625,0,-0.0005,0.0015
6,0.054625,0.181125,0.197625,0.07825,-0.09275,-0.070875,-0.095,-0.004,0.06975,0.133875,0.07125,-0.02875,-0.08875,-0.153,0.0705,0.19075,0.1865,0.06725,-0.12725,-0.050625,-0.01475,0.074125,0.10975,0.05625,-0.00375,-0.086375,0.054,0.1845,0.00525,-0.065875,-0.1345,-0.07675,0.05075,0.1335,0.179125,-0.07,-0.210125,-0.20775,-0.0795,0.169,0.10425,0.07725,-0.08175,-0.15975,-0.10225,-0.016,0.144625,0.0015,-0.058,-0.025,0.010375,0.096125,0.065,0.009875,-0.081,-0.13225,0.001,0.007125,0.00625,1.11E-16,0.000625,-0.002,-0.002625,-0.009375,-0.00875,0.00075,0.00325,0.003875,0.005625,0,-0.004,-0.002,-0.00025,-0.00525,-0.0035,0.003,0.003625,0.00325,-0.006875,-0.000125,-0.004625,-0.004625,-0.004,0.2235,0.00325,0.00475,0.002,-0.0005,-0.002625,-0.005625,0,0.000375,0.006625,0.00475,0.0045,-0.001625,-0.002125,-0.001,-0.001,-0.0035,0.0015,0.002,-0.0015,0.004875,0.000625,0.00325,-0.002125,-0.011875,-0.003625,-0.00075,-0.0015,-0.00025
7,-0.09125,-0.2285,-0.217875,-0.068875,0.141875,0.055125,0.00725,-0.073125,-0.17075,-0.21575,-0.092875,0.11825,0.114875,0.149,-0.10025,-0.21875,-0.1765,-0.048625,0.164125,0.02475,-0.042125,-0.059375,-0.051125,0.035625,0.046,0.0535,-0.095875,-0.25875,0.03325,0.163,0.2155,0.101125,-0.115875,-0.139625,-0.1585,0.097875,0.24225,0.19625,0.062125,-0.18825,-0.054375,0.0025,0.068875,0.096125,0.002875,-0.02875,-0.087375,0.03575,0.138875,-0.019375,-0.11975,-0.1965,-0.099875,0.06075,0.121375,0.145375,-0.002,-0.012625,-0.014375,-0.0075,-0.0025,0.009375,0.005625,0.009875,0.018875,0.0045,0.001,-0.004375,-0.010625,-0.004375,-0.000375,-0.00075,0.003,0.0115,0.008125,0.00075,-0.0015,-0.009875,-0.0065,0.000375,0.004375,0.007,0.012375,-0.30525,0.00275,-0.0045,-0.0065,-0.007875,-0.00225,0.00475,0.002,0.007,-0.001375,-0.002125,-0.005125,-0.003625,-0.0095,-0.00225,-0.0005,0.008125,0.007875,0.00675,0.007125,-0.00975,-0.00625,-0.007375,-0.0035,0.012,0.016375,0.005,0.013375,0.003125
8,-0.086375,-0.225625,-0.216875,-0.071625,0.136625,0.0635,0.02,-0.07475,-0.15625,-0.205125,-0.090375,0.105625,0.11125,0.1545,-0.09625,-0.21925,-0.183125,-0.053625,0.1635,0.0305,-0.0275,-0.063625,-0.067125,0.018875,0.03775,0.063625,-0.08775,-0.242125,0.025625,0.146125,0.20175,0.0975,-0.10275,-0.1375,-0.161625,0.09325,0.238875,0.199,0.065625,-0.183125,-0.06075,-0.009875,0.07175,0.109375,0.019125,-0.021125,-0.102375,0.031625,0.130875,-0.011,-0.10225,-0.18075,-0.095375,0.047875,0.118375,0.147875,-0.001875,-0.020125,-0.026125,-0.023875,-0.005125,0.018,0.014875,0.02525,0.029875,0.017625,0.013125,-0.00375,-0.02325,-0.019375,-0.02125,-0.007,0.010875,0.028125,0.015375,0.011125,-0.003,-0.021625,-0.015375,-0.010375,-0.000125,0.011625,0.031375,-0.269,0.01375,-0.003125,-0.017625,-0.02775,-0.007625,-0.001625,0.00575,0.02275,0.013,0.004375,-0.00525,-0.00725,-0.02925,-0.01075,-0.008125,0.00975,0.018625,0.023375,0.01275,-0.00375,-0.01075,-0.025875,-0.015625,0.00875,0.01675,0.008,0.034,0.01
9,-0.068875,-0.261875,-0.3055,-0.1305,0.142,0.1485,0.148625,-0.123125,-0.287375,-0.220375,-0.102875,0.02475,0.15175,0.2765,-0.105625,-0.2935,-0.308625,-0.119875,0.205125,0.12275,0.08875,-0.1265,-0.202875,-0.1515,-0.0225,0.184125,-0.0285,-0.1955,-0.035,0.031875,0.144625,0.0975,-0.011125,-0.168625,-0.25325,0.085625,0.283625,0.30425,0.124375,-0.21225,-0.152625,-0.129375,0.12525,0.265625,0.1865,0.04175,-0.214875,-0.00775,0.075,0.051,0.025375,-0.105,-0.085375,-0.028,0.1325,0.22625,0.011,0.002,-0.011375,-0.011,-0.007125,-0.00675,0.00125,0.005125,0.02575,0.00775,0.008875,0.002625,0.0005,-0.004125,-0.00075,-0.007,-0.0075,0.004375,0.007,0.011125,-0.003,0.002125,0.0255,-0.01625,-0.0045,0.00275,0.00625,-0.229625,0.005625,0.00375,-5.55E-17,-0.004125,-0.00275,-0.008125,-0.00475,-0.001375,-0.004375,0.0035,0.00875,0.003625,-0.001625,-0.005375,-0.012,-0.009125,-0.002,0.00475,0.004125,0.006625,0.001625,-0.003875,-0.0055,-0.0035,-0.0015,-0.001,0.013375,0.007875
10,-0.048625,-0.201625,-0.240125,-0.10675,0.10625,0.1245,0.130875,-0.1,-0.240625,-0.19225,-0.0795,0.00575,0.121125,0.225,-0.078625,-0.232375,-0.2505,-0.100625,0.158,0.105625,0.083875,-0.104625,-0.1695,-0.140625,-0.026625,0.15725,-0.01225,-0.13675,-0.038125,0.0065,0.0995,0.071375,0.00725,-0.130375,-0.20275,0.0635,0.218375,0.243,0.103625,-0.16275,-0.127875,-0.115,0.102875,0.224875,0.164,0.040875,-0.1775,-0.014375,0.047,0.04825,0.03925,-0.064375,-0.059875,-0.033625,0.102875,0.182125,0.002,-0.00825,-0.00925,-0.004875,-0.002875,-0.00125,0.002125,0.00225,0.017875,0.001,0.002375,-0.00225,-0.004375,-0.0035,-0.00175,-0.001,-0.001875,0.0055,0.006,0.002375,-0.0065,-0.002125,0.02475,-0.010875,0.00225,0.006625,0.005875,-0.163875,0.003625,-0.00225,-0.00275,-0.002625,0.000375,0.000625,0.000875,0.002,-0.00575,-0.00075,0.000625,0.00175,-0.000375,-0.0015,-0.00325,0.00325,-0.000375,0.002,-0.01025,-0.00575,-0.002,-0.005625,-0.002,0.001,0.003875,-0.000125,0.006125,0.002875
